iter	Logloss
0	0.656785696
1	0.6270801048
2	0.5993952112
3	0.5789928253
4	0.5606168332
5	0.5455981572
6	0.5296733202
7	0.5176061973
8	0.5069037928
9	0.4957436684
10	0.4873598489
11	0.479939244
12	0.4738943784
13	0.4677942315
14	0.462959962
15	0.4579872209
16	0.4538754488
17	0.4496299673
18	0.4456346581
19	0.4419441654
20	0.4392861543
21	0.4367925605
22	0.4349607321
23	0.4327400199
24	0.431160143
25	0.4289033485
26	0.4274602777
27	0.425699178
28	0.4246468726
29	0.4235563756
30	0.4225294355
31	0.4217159904
32	0.4203839911
33	0.4192468209
34	0.4183712948
35	0.4175027762
36	0.4164816981
37	0.4157632792
38	0.4152337015
39	0.4141228365
40	0.4133002814
41	0.4121136318
42	0.4113153889
43	0.4102891558
44	0.4098133459
45	0.4091260435
46	0.4086445412
47	0.4080716612
48	0.4075073328
49	0.4068071241
50	0.4063881474
51	0.4058661587
52	0.4052122061
53	0.4047037093
54	0.4041391918
55	0.4037311437
56	0.4032191093
57	0.4028260853
58	0.40238576
59	0.4017771232
60	0.4011106876
61	0.4007011179
62	0.4002601756
63	0.3997135493
64	0.3993618801
65	0.3989539376
66	0.3983798021
67	0.3978105691
68	0.3973618361
69	0.3971145788
70	0.396810208
71	0.3960207827
72	0.3957311151
73	0.3952540412
74	0.3949464225
75	0.394631847
76	0.3943739931
77	0.394052787
78	0.3936390064
79	0.3934748792
80	0.3929698134
81	0.3926686279
82	0.3924299323
83	0.3921709241
84	0.3918941484
85	0.3915485232
86	0.391142434
87	0.3908599089
88	0.3906579268
89	0.3903738152
90	0.3902020492
91	0.3898125481
92	0.3893541821
93	0.3890693356
94	0.3888744818
95	0.3884579282
96	0.3881424567
97	0.3877525164
98	0.3873271664
99	0.3871634185
100	0.3870374112
101	0.3868765152
102	0.3867275431
103	0.386465591
104	0.3862643848
105	0.3861478171
106	0.3857767596
107	0.3855502995
108	0.3853210623
109	0.3850630395
110	0.3848585283
111	0.3846646704
112	0.3843936006
113	0.3842670797
114	0.3840801746
115	0.383878258
116	0.3836309531
117	0.3833927261
118	0.3832308061
119	0.3830453807
120	0.3828857317
121	0.3826413709
122	0.3824965766
123	0.3823046705
124	0.38213307
125	0.3819755862
126	0.3818452717
127	0.3815967834
128	0.3814774692
129	0.3812249903
130	0.3809645569
131	0.3807117723
132	0.3805706663
133	0.380395469
134	0.3802508878
135	0.3800674756
136	0.3798149987
137	0.3795706352
138	0.3794182655
139	0.3792523074
140	0.3789135814
141	0.3787887174
142	0.3784915528
143	0.3782979169
144	0.3778663984
145	0.3777478181
146	0.3776374036
147	0.3775776851
148	0.377423189
149	0.3772399766
150	0.3770759841
151	0.376967539
152	0.3768575528
153	0.3765980968
154	0.3764216709
155	0.3762955364
156	0.3762002288
157	0.3761009401
158	0.3758065057
159	0.3756838852
160	0.3755349405
161	0.3753080236
162	0.3750330713
163	0.3749078261
164	0.3746072359
165	0.3743943889
166	0.3742591263
167	0.3741059331
168	0.3740064262
169	0.3738919565
170	0.3735966082
171	0.3733840963
172	0.3732588784
173	0.373041797
174	0.3728502285
175	0.3726772066
176	0.3725337669
177	0.3722406585
178	0.3720960822
179	0.3719160474
180	0.3717615923
181	0.3715586782
182	0.3714653779
183	0.3712012702
184	0.3711096919
185	0.3707977698
186	0.370582442
187	0.3704951804
188	0.3704205822
189	0.3703596906
190	0.3700695102
191	0.369829244
192	0.3696819135
193	0.369507936
194	0.3693115186
195	0.3691024486
196	0.3689763456
197	0.3687861643
198	0.3686390306
199	0.368546618
200	0.3684120925
201	0.3682805301
202	0.3680900745
203	0.3680450468
204	0.3679028624
205	0.3676711138
206	0.3674885558
207	0.3673314162
208	0.367185173
209	0.3670667496
210	0.3669370225
211	0.3668222362
212	0.3666274035
213	0.3664465519
214	0.3662929771
215	0.3660531039
216	0.3658983098
