iter	Passed	Remaining
0	133	66398
1	149	37267
2	168	27876
3	184	22845
4	197	19509
5	210	17307
6	225	15893
7	240	14771
8	252	13754
9	267	13095
10	282	12552
11	295	12011
12	310	11639
13	322	11198
14	334	10825
15	347	10519
16	365	10385
17	382	10255
18	398	10084
19	412	9907
20	427	9746
21	441	9602
22	454	9423
23	466	9254
24	480	9135
25	497	9061
26	508	8908
27	521	8787
28	533	8663
29	545	8542
30	557	8439
31	569	8321
32	587	8307
33	602	8257
34	617	8201
35	628	8104
36	641	8032
37	657	7997
38	672	7946
39	683	7858
40	696	7792
41	709	7733
42	720	7660
43	732	7591
44	745	7538
45	758	7487
46	770	7427
47	782	7367
48	797	7336
49	812	7310
50	825	7271
51	838	7226
52	849	7168
53	861	7118
54	876	7088
55	889	7048
56	900	6996
57	912	6953
58	927	6934
59	939	6892
60	951	6849
61	964	6814
62	977	6779
63	989	6738
64	1000	6695
65	1012	6658
66	1028	6644
67	1045	6640
68	1057	6604
69	1069	6569
70	1083	6548
71	1097	6525
72	1112	6504
73	1124	6470
74	1137	6443
75	1151	6422
76	1163	6390
77	1176	6367
78	1188	6336
79	1202	6311
80	1214	6283
81	1229	6266
82	1242	6240
83	1253	6208
84	1266	6181
85	1281	6166
86	1293	6138
87	1304	6106
88	1317	6085
89	1333	6076
90	1344	6044
91	1357	6020
92	1368	5988
93	1379	5958
94	1390	5928
95	1401	5899
96	1414	5875
97	1428	5858
98	1442	5843
99	1455	5823
100	1466	5792
101	1477	5766
102	1492	5751
103	1504	5730
104	1515	5702
105	1530	5687
106	1546	5678
107	1559	5659
108	1572	5639
109	1584	5618
110	1596	5596
111	1608	5573
112	1621	5552
113	1634	5532
114	1647	5515
115	1661	5499
116	1675	5486
117	1687	5462
118	1700	5443
119	1715	5433
120	1727	5411
121	1739	5389
122	1750	5366
123	1764	5351
124	1776	5328
125	1788	5308
126	1799	5285
127	1810	5261
128	1821	5238
129	1832	5216
130	1846	5200
131	1861	5190
132	1883	5198
133	1896	5180
134	1909	5161
135	1924	5152
136	1939	5138
137	1951	5118
138	1964	5101
139	1979	5089
140	1991	5070
141	2002	5049
142	2015	5032
143	2027	5011
144	2038	4990
145	2050	4971
146	2065	4959
147	2081	4949
148	2094	4933
149	2106	4915
150	2119	4898
151	2132	4883
152	2145	4866
153	2159	4850
154	2172	4835
155	2187	4823
156	2201	4809
157	2212	4789
158	2225	4773
159	2238	4756
160	2250	4739
161	2262	4719
162	2274	4701
163	2292	4696
164	2305	4680
165	2318	4665
166	2331	4648
167	2343	4630
168	2356	4615
169	2371	4602
170	2382	4584
171	2395	4568
172	2409	4554
173	2422	4538
174	2434	4521
175	2448	4506
176	2459	4488
177	2472	4472
178	2483	4454
179	2496	4438
180	2510	4425
181	2523	4409
182	2537	4394
183	2550	4380
184	2563	4364
185	2578	4353
186	2594	4343
187	2608	4328
188	2624	4317
189	2636	4302
190	2649	4286
191	2662	4270
192	2676	4257
193	2690	4244
194	2704	4230
195	2717	4215
196	2731	4201
197	2745	4188
198	2760	4175
199	2773	4159
200	2785	4142
201	2797	4127
202	2810	4111
203	2823	4096
204	2837	4082
205	2849	4066
206	2861	4050
207	2873	4034
208	2887	4020
209	2905	4012
210	2919	3999
211	2934	3986
212	2947	3971
213	2961	3957
214	2975	3944
215	2987	3928
216	3000	3913
217	3016	3901
218	3029	3886
219	3041	3870
220	3055	3857
221	3066	3840
222	3078	3823
223	3089	3807
224	3101	3791
225	3116	3778
226	3130	3764
227	3142	3749
228	3157	3736
229	3169	3720
230	3183	3707
231	3198	3695
232	3210	3679
233	3223	3664
234	3236	3649
235	3248	3633
236	3262	3620
237	3274	3604
238	3286	3588
239	3298	3573
240	3310	3557
241	3324	3544
242	3338	3530
243	3352	3516
244	3365	3503
245	3380	3490
246	3394	3476
247	3411	3466
248	3423	3450
249	3435	3435
250	3448	3421
251	3465	3410
252	3487	3404
253	3499	3389
254	3511	3373
255	3523	3358
256	3535	3342
257	3551	3330
258	3566	3318
259	3579	3304
260	3593	3290
261	3606	3276
262	3621	3263
263	3636	3250
264	3649	3236
265	3662	3221
266	3676	3208
267	3690	3194
268	3701	3179
269	3713	3163
270	3725	3147
271	3736	3132
272	3748	3117
273	3766	3106
274	3780	3092
275	3794	3079
276	3807	3065
277	3822	3052
278	3835	3037
279	3845	3021
280	3855	3004
281	3868	2990
282	3880	2975
283	3893	2960
284	3905	2946
285	3916	2930
286	3927	2915
287	3942	2902
288	3956	2888
289	3970	2875
290	3985	2862
291	3996	2847
292	4009	2832
293	4020	2817
294	4034	2803
295	4046	2788
296	4058	2774
297	4071	2759
298	4086	2747
299	4101	2734
300	4113	2719
301	4126	2705
302	4139	2691
303	4152	2677
304	4166	2664
305	4177	2648
306	4191	2635
307	4204	2621
308	4217	2607
309	4229	2592
310	4242	2578
311	4255	2564
312	4270	2551
313	4281	2536
314	4295	2522
315	4309	2509
316	4321	2494
317	4333	2479
318	4345	2465
319	4356	2450
320	4368	2436
321	4382	2422
322	4394	2408
323	4423	2402
324	4435	2388
325	4447	2373
326	4460	2359
327	4472	2345
328	4488	2332
329	4501	2319
330	4513	2304
331	4526	2290
332	4548	2280
333	4559	2266
334	4570	2251
335	4582	2236
336	4596	2223
337	4608	2208
338	4622	2195
339	4637	2182
340	4652	2169
341	4668	2156
342	4681	2142
343	4694	2128
344	4708	2115
345	4722	2101
346	4737	2088
347	4749	2074
348	4762	2060
349	4774	2046
350	4787	2032
351	4799	2017
352	4813	2004
353	4825	1990
354	4837	1975
355	4851	1962
356	4863	1948
357	4876	1934
358	4888	1920
359	4901	1906
360	4914	1892
361	4927	1878
362	4939	1864
363	4952	1850
364	4966	1836
365	4979	1822
366	4990	1808
367	5002	1794
368	5014	1780
369	5028	1766
370	5042	1753
371	5054	1739
372	5069	1725
373	5082	1712
374	5095	1698
375	5106	1684
376	5118	1670
377	5130	1655
378	5157	1646
379	5170	1632
380	5183	1619
381	5197	1605
382	5209	1591
383	5221	1577
384	5233	1563
385	5248	1550
386	5262	1536
387	5276	1523
388	5297	1511
389	5309	1497
390	5322	1483
391	5334	1469
392	5346	1455
393	5371	1445
394	5385	1431
395	5399	1417
396	5410	1403
397	5423	1389
398	5435	1375
399	5447	1361
400	5464	1349
401	5477	1335
402	5490	1321
403	5503	1307
404	5515	1293
405	5528	1280
406	5542	1266
407	5555	1252
408	5567	1238
409	5578	1224
410	5592	1211
411	5606	1197
412	5619	1183
413	5631	1169
414	5643	1155
415	5656	1142
416	5668	1128
417	5683	1114
418	5695	1101
419	5709	1087
420	5724	1074
421	5737	1060
422	5751	1046
423	5765	1033
424	5777	1019
425	5789	1005
426	5802	991
427	5818	978
428	5832	965
429	5846	951
430	5859	938
431	5871	924
432	5885	910
433	5901	897
434	5913	883
435	5925	869
436	5937	855
437	5949	842
438	5964	828
439	5978	815
440	5991	801
441	6003	787
442	6016	774
443	6029	760
444	6041	746
445	6057	733
446	6071	719
447	6083	706
448	6096	692
449	6109	678
450	6123	665
451	6134	651
452	6148	637
453	6162	624
454	6175	610
455	6188	597
456	6200	583
457	6213	569
458	6225	556
459	6238	542
460	6251	528
461	6262	515
462	6277	501
463	6292	488
464	6305	474
465	6317	460
466	6334	447
467	6347	433
468	6361	420
469	6375	406
470	6389	393
471	6401	379
472	6414	366
473	6426	352
474	6438	338
475	6450	325
476	6462	311
477	6474	297
478	6486	284
479	6498	270
480	6512	257
481	6524	243
482	6536	230
483	6548	216
484	6562	202
485	6577	189
486	6590	175
487	6602	162
488	6614	148
489	6627	135
490	6640	121
491	6652	108
492	6664	94
493	6677	81
494	6690	67
495	6707	54
496	6720	40
497	6734	27
498	6747	13
499	6759	0
