feature,importance
required_car_parking_spaces,15.64728064
is_domestic,13.68768365
lead_time,10.14957744
market_segment_Online_TA,9.793885043
adr,6.800564758
market_segment_Offline_TA_TO,5.516332919
total_of_special_requests,5.282494651
arrival_date_week_number,3.915074526
total_nights,2.889985539
customer_type_Transient,2.819175308
hotel,2.626525046
previous_cancellations,2.129230273
deposit_type,2.126517104
booking_changes,2.104541
arrival_date_day_of_month,1.853669048
customer_type_Transient_Party,1.537841808
customer_type_Other,1.278810493
total_guests,1.178917573
meal_SC,0.94963125
previous_bookings_not_canceled,0.73443009
reserved_room_type_Other,0.536573396
arrival_date_month_July,0.525851439
reserved_room_type_A,0.514271556
market_segment_Direct,0.512057203
distribution_channel_Direct,0.48792817
distribution_channel_TA_TO,0.464608804
meal_BB,0.426935365
has_children,0.391803085
reserved_room_type_E,0.327723677
meal_HB,0.293249346
arrival_date_month_August,0.284863143
is_repeated_guest,0.241471638
reserved_room_type_D,0.216398662
market_segment_Other,0.20566146
arrival_date_month_December,0.16227072
arrival_date_month_September,0.159873504
arrival_date_month_April,0.153589249
distribution_channel_Other,0.152342623
arrival_date_month_May,0.14727121
arrival_date_month_October,0.139100149
arrival_date_month_June,0.125090198
days_in_waiting_list,0.121979959
arrival_date_month_November,0.118871904
arrival_date_month_January,0.076572392
arrival_date_month_February,0.073787273
meal_Other,0.06899986
arrival_date_month_March,0.048685866
