feature,importance
lead_time,0.159239445
total_of_special_requests,0.097982484
is_domestic,0.093178558
adr,0.08584311
total_nights,0.050890146
market_segment_Online_TA,0.048830398
required_car_parking_spaces,0.047098082
arrival_date_day_of_month,0.046518444
arrival_date_week_number,0.045059521
market_segment_Offline_TA_TO,0.030705264
previous_cancellations,0.027948157
booking_changes,0.0261499
deposit_type,0.025981983
customer_type_Transient,0.022941213
total_guests,0.019880199
customer_type_Transient_Party,0.015383926
distribution_channel_TA_TO,0.01505485
hotel,0.013446256
distribution_channel_Direct,0.008113963
market_segment_Direct,0.007543323
reserved_room_type_A,0.007303443
meal_BB,0.006669147
has_children,0.00627651
reserved_room_type_D,0.005870201
reserved_room_type_Other,0.005398665
meal_SC,0.005363868
meal_HB,0.0053079
market_segment_Other,0.005107982
arrival_date_month_August,0.004499996
arrival_date_month_July,0.004499459
previous_bookings_not_canceled,0.004369883
reserved_room_type_E,0.004302835
customer_type_Other,0.004186917
arrival_date_month_June,0.003846116
arrival_date_month_September,0.003832696
arrival_date_month_May,0.003801948
arrival_date_month_April,0.003505452
arrival_date_month_October,0.003389395
arrival_date_month_March,0.00338497
arrival_date_month_December,0.00337905
arrival_date_month_February,0.003281964
is_repeated_guest,0.003064067
distribution_channel_Other,0.002851757
arrival_date_month_November,0.002839848
arrival_date_month_January,0.00272475
days_in_waiting_list,0.001882944
meal_Other,0.001269014
