feature,importance
required_car_parking_spaces,0.19509976
market_segment_Online_TA,0.10392066
deposit_type,0.097717345
previous_cancellations,0.07703615
is_domestic,0.057749875
customer_type_Transient,0.042485937
total_of_special_requests,0.037575185
market_segment_Offline_TA_TO,0.025853813
market_segment_Direct,0.025143389
previous_bookings_not_canceled,0.018648742
booking_changes,0.016187862
lead_time,0.015273987
customer_type_Transient_Party,0.015089644
customer_type_Other,0.014980975
hotel,0.012532727
meal_SC,0.011994242
distribution_channel_TA_TO,0.011068499
distribution_channel_Direct,0.009745832
reserved_room_type_Other,0.009377815
is_repeated_guest,0.00933747
total_nights,0.008886231
arrival_date_month_August,0.008700053
adr,0.008661843
arrival_date_month_July,0.008323016
market_segment_Other,0.008186337
arrival_date_week_number,0.0081625115
arrival_date_month_January,0.007942353
distribution_channel_Other,0.007909499
arrival_date_month_September,0.007831013
reserved_room_type_E,0.00747673
arrival_date_month_May,0.0071426798
arrival_date_month_April,0.0070847683
total_guests,0.0070764953
arrival_date_month_February,0.0070247515
has_children,0.0069702524
meal_BB,0.0069024693
meal_Other,0.0068518803
arrival_date_month_December,0.0068488577
reserved_room_type_D,0.006453007
reserved_room_type_A,0.0064370073
arrival_date_month_October,0.0063814432
arrival_date_month_November,0.006199663
arrival_date_month_June,0.0061131497
arrival_date_day_of_month,0.0061051976
meal_HB,0.0060918136
arrival_date_month_March,0.0059948117
days_in_waiting_list,0.0054222024
